Word ID	Word
23571	fawn
46753	localizes
19991	anogeissus
8247	woods
35173	cfe
27427	pantheistic
31118	seifer
17425	hanging
563	woody
41965	trawling
16122	comically
42116	localized
36738	spidery
3470	mutinied
28393	sprague
37673	orthographies
42770	scold
39452	nukem
35544	originality
32899	gaa
26228	phytotron
14488	crossbar
14371	hermann
4912	cytochrome
17167	raouf
22972	bratislava
11770	appropriation
5209	holyrood
46943	pirosmani
37179	broward
29120	screaming
45907	kottayam
19671	wooded
45629	vibrational
12814	wooden
15168	wednesday
7851	vologda
40888	circuitry
34975	stereotypical
35384	schunk
37596	spiders
31514	thrace
33036	popularis
42672	stohr
7078	francesco
33187	precocity
19026	manandafy
18864	desiccant
43470	feasibility
2167	miniatures
31007	272
27923	273
16236	selassie
36624	276
37838	sustaining
32164	278
12429	279
45409	periodontitis
40652	scraped
36668	snuggled
32596	tumen
44107	inanimate
6011	qinpu
18522	dormancy
8184	errors
38278	semicircular
31908	tahirids
10021	cooking
45008	paphos
10462	usenet
4208	aggression
15178	designing
34585	numeral
34354	hallucinating
29988	succumb
27300	shocks
28209	evolutionism
28906	crouch
5542	rocque
17602	sunbeams
18255	affiliates
317	china
37548	74th
2751	affiliated
6437	kariba
30926	rorquals
38862	chink
28487	natured
25335	reggae
27831	kids
39291	uplifting
16524	climbed
4288	controversy
30863	natures
21449	climber
25577	gottlob
22815	millimetres
5999	golden
35431	topography
37243	jatiyo
6358	projection
19853	ampues
38316	mclaurin
26150	orangish
22075	congshu
3643	montholon
4441	rifting
11075	stern
23233	battista
16747	agassi
4916	dna
33117	callaici
14053	catchy
14775	insecurity
3058	abbreviations
7363	42
25569	magnify
14441	jaekel
10969	tcherepnin
2093	music
1760	therefore
10465	dns
25091	mystic
38125	reasserting
41226	bosporus
12752	sermons
11638	ungulates
5193	populations
404	43
21841	alphabetic
10455	yahoo
34086	rickman
15677	expeditionary
42986	serially
23828	unpack
6652	circumstances
25101	intake
1504	morally
6289	locked
24407	kampala
27884	'katy
12059	admits
20236	tomahawk
25005	phane
547	capsaicin
10269	wang
28470	wand
40901	wane
1679	unjust
16525	titanium
30076	meggadeaths
1762	want
36745	azurite
30818	pinto
49	cookery
10323	absolute
8352	tchaikovsky
1434	travel
27023	copious
16825	playback
14418	unintended
35589	iriba
15409	20nm
12766	cadence
26343	1175
36902	1170
16405	assimilated
45502	ptarmigan
6296	dinosaurs
235	modest
47431	twined
22614	neotyphodium
25778	eugenics
24378	sedi
3163	opted
33357	'new
6961	sickening
20250	kiloton
1086	18th
4191	welcomed
33988	concurrence
18644	621
42485	whizzing
23494	partnered
25863	armorica
24484	semyon
40726	backings
26211	627
29569	rewarded
26850	activating
22709	playhouse
17510	fir
27649	andesitic
32261	pluvial
26882	wickedly
43209	ligand
8520	fit
40379	fiu
5875	bringing
9037	fix
26404	624
2997	discourse
17703	rehoused
41961	fig
5297	wales
9244	influentially
17750	fin
34171	fil
22571	roqueforti
14777	chawton
9320	songwriter
33015	octavianus
24516	cfp
7570	effects
12113	sixteen
4447	undeveloped
46297	clubland
45070	scaglione
29046	bartok
22722	barton
18756	nixie
34249	telekom
20492	arrow
12837	uninfluenced
37317	verkehrsverbund
15944	burial
2387	telescope
36916	sandbars
16682	platelets
35377	allan
21162	phoenicians
11485	parasites
34890	393
6426	390
25138	396
7954	395
4393	metafiction
29892	398
30426	golem
12050	mannerheim
18103	zar
24748	undecidable
35335	ombo
21328	mason
26544	combinatorial
3291	encourage
15795	adapt
29791	guitarists
18473	outburst
15512	39b
6588	strata
44468	parasurama
31986	pumpkins
37348	corrects
17392	sheet
5346	berwick
14471	gameplay
22762	universally
18859	chlorine
39669	strawson
14768	husbands
15207	competes
45114	disturber
4262	boettiger
1347	immunities
33494	ministries
21609	disturbed
26194	competed
43381	portmanteau
45615	loudness
44739	ardour
47058	lightened
21791	reintroduced
32038	tsiafajavona
20508	reciprocally
29805	kfc
30047	chevron
36746	feldspar
26420	pronghorn
19051	antilles
5404	specially
13658	seizures
852	olds
15125	renovated
8930	service
27093	berthier
1018	needed
6027	master
28935	skedar
21743	genesis
15835	minstrelsy
17145	rewards
25717	meltdowns
20372	mutilated
46605	hutongs
19732	positively
34616	nzs
30922	270
31370	ahmed
27721	maglev
40114	woojeon
12589	271
39037	regulator
23677	idle
39181	exclaimed
1192	friend
1612	feeling
45873	idli
43398	275
36382	sacheverall
35023	pliocene
32021	politely
7473	spectrum
22941	richborough
16969	khong
46584	brawny
17008	khone
12718	seabirds
41650	arousal
8939	dozen
20969	foundational
5130	affairs
43940	wholesome
26096	courier
44540	sasthamkotta
37079	recurvature
39952	uncouth
40874	vga
45599	prosody
697	racers
14349	toothed
35300	abnudi
12404	kremlin
36107	concedes
10947	karsavina
31622	committing
15579	sugarcane
10078	lauterbrunnen
10884	ustanovleniyu
42289	diminishing
4389	cinematic
20984	encomium
30468	simplify
21882	meihao
6539	mouth
8386	reverence
28225	conceded
9410	resonated
25561	expound
9364	singer
7272	confederation
33044	purges
33721	vertices
31109	ragnarok
38009	multiracial
26686	ankylosaurs
27932	tech
47584	fugitives
20529	keeble
19856	ampu
3008	purged
32045	singen
1480	saying
31283	requiremaintenance
40034	terese
41421	rediscovery
35925	inorities
13300	tempted
36530	prefatory
32445	sunos
15830	orleans
40950	clicked
21910	excavator
32328	kinase
33172	blish
12269	aspinwall
20751	rico
36304	lube
45764	bliss
27358	rick
305	rich
12996	rice
22012	rica
19836	caribs
2526	plate
10031	plata
1179	plato
29696	platt
13374	photoelectric
7919	altogether
32901	bhfiann
33496	platz
14326	superfamily
39442	jaguar
35595	nicely
34885	ennedi
41198	boarder
15683	patch
36437	metlatonoc
2149	juvenilia
2050	boarded
40170	achalov
46637	precluding
3676	mussulman
14051	cohan
17121	clarified
16105	sensitivity
21009	zahlen
44433	pinos
42799	lennar
26961	bakumatsu
46110	clarifies
43551	shunting
9487	playfulness
23238	lots
16393	arbeiterpartei
18878	electropositive
46888	droves
21284	xvi
12605	loti
30929	exhalation
24492	zinman
28696	ira
36257	nuestro
10963	ire
44862	abyde
11468	letting
20547	redistricting
6053	extend
1743	nature
34452	optimist
5336	extent
14299	tendons
43049	mmutle
11969	tyranny
12877	airflow
33300	boardman
31876	seleucids
41067	himalayas
7551	heating
44098	incense
41031	tearout
17798	finfish
21698	himalayan
4170	southeastern
22973	moravia
24363	libyan
27813	gopher
38829	fondled
31964	selischi
14462	rooks
5415	distorted
22754	blondi
46435	pericardial
47121	intrauterine
23683	humming
28872	customisation
26263	underdone
42578	yikatong
2765	union
39088	fro
29069	cue
185	much
40224	1670s
25301	progenitor
1682	deliberately
6110	sextus
18788	mothball
20449	tallest
44543	endemism
37600	obese
37927	sleipnir
24022	retrospect
23802	spit
41973	barque
27528	conifers
25831	allotting
42219	davy
31119	almasy
10363	yongzheng
987	dave
44186	nayagaon
12444	doubts
12709	spik
4085	spin
46152	skilfully
45506	wildcat
14958	emplon
28837	easter
47018	contingencies
6056	professionally
34045	1671
8207	employ
22154	hassaniya
36366	ternate
44109	prostrate
4892	k
45671	moraines
39074	cupful
47338	taxicabs
20686	kohn
27336	koho
33402	kohl
36254	conditioned
28541	elmira
2085	eighteen
20186	bundelkhand
32358	habeas
33198	5050
42052	hone
3229	hong
12912	recover
7731	ignored
40987	vipin
22556	portobello
16437	remand
2898	democracies
47605	spews
37885	yggdrasil
9085	split
34055	provincials
36451	codename
27149	dunkirk
32240	fattouh
22741	junge
23658	boiled
43458	myocardial
15833	marches
39459	kushner
23384	frenchmen
